setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,casos,poblacio
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,3,8.00,10856.00
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,2,1.00,15330.00
4,2022,24/01/2022,30/01/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,4,8.00,7642.00
32,2022,08/08/2022,14/08/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,3,2.00,10856.00
45,2022,07/11/2022,13/11/2022,64,GIRONA,6400,GIRONA,Home,70 a 79,3,1.00,18494.00
30,2022,25/07/2022,31/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,4,1.00,8032.00
33,2022,15/08/2022,21/08/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,45 a 59,3,1.00,45821.00
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,3,6.00,10856.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,1,1.00,2473.00
52,2021,27/12/2021,02/01/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,70 a 79,3,1.00,13642.00
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,3,1.00,18707.00
29,2022,18/07/2022,24/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,3,7.00,19704.00
5,2022,31/01/2022,06/02/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,70 a 79,4,1.00,7963.00
44,2022,31/10/2022,06/11/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,3,1.00,7896.00
16,2022,18/04/2022,24/04/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,3,1.00,6690.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,4,1.00,4017.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,3,1.00,21431.00
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,4,1.00,14909.00
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,1,2.00,4476.00
44,2022,31/10/2022,06/11/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,4,1.00,2137.00
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,2,10.00,32375.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,2,1.00,16731.00
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,3,1.00,35570.00
6,2022,07/02/2022,13/02/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,3,4.00,10673.00
